[08:41:43.533] Incoming connection from 127.0.0.1:62552
[08:41:43.536] Handshake complete for 127.0.0.1:62552
[08:43:14.687] Incoming connection from 127.0.0.1:61911
[08:43:14.690] Handshake complete for 127.0.0.1:61911
[08:43:24.906] Client disconnected: 127.0.0.1:61911
[08:43:27.014] Incoming connection from 127.0.0.1:61938
[08:43:27.022] Handshake complete for 127.0.0.1:61938
[08:43:29.078] Event: DOWN (0.174, 0.278) p=1.00 tool=1
[08:43:29.101] Event: MOVE (0.199, 0.318) p=1.00 tool=1
[08:43:29.102] Event: MOVE (0.216, 0.345) p=1.00 tool=1
[08:43:29.102] Event: MOVE (0.230, 0.368) p=1.00 tool=1
[08:43:29.111] Event: MOVE (0.249, 0.399) p=1.00 tool=1
[08:43:29.119] Event: MOVE (0.258, 0.413) p=1.00 tool=1
[08:43:29.126] Event: MOVE (0.266, 0.426) p=1.00 tool=1
[08:43:29.133] Event: MOVE (0.275, 0.440) p=1.00 tool=1
[08:43:29.143] Event: MOVE (0.283, 0.453) p=1.00 tool=1
[08:43:29.148] Event: MOVE (0.292, 0.467) p=1.00 tool=1
[08:43:29.155] Event: MOVE (0.300, 0.480) p=1.00 tool=1
[08:43:29.169] Event: MOVE (0.315, 0.503) p=1.00 tool=1
[08:43:29.183] Event: MOVE (0.334, 0.534) p=1.00 tool=1
[08:43:29.197] Event: MOVE (0.351, 0.561) p=1.00 tool=1
[08:43:29.211] Event: MOVE (0.368, 0.588) p=1.00 tool=1
[08:43:29.225] Event: MOVE (0.385, 0.615) p=1.00 tool=1
[08:43:29.239] Event: MOVE (0.402, 0.642) p=1.00 tool=1
[08:43:29.253] Event: MOVE (0.418, 0.670) p=1.00 tool=1
[08:43:29.257] Event: UP (0.418, 0.670) p=0.00 tool=1
[08:43:32.836] Event: DOWN (0.417, 0.500) p=1.00 tool=1
[08:43:32.872] Event: UP (0.417, 0.500) p=0.00 tool=1
